,A01,A02,A03,A04,A05,A06,B07,B08,B09,B10,B11,B12,B13,C11,C12,C13,C14,D15,D16,D17,D18,D19,E19,E20,E21,E22,F22,F23,F24,F25,F26,G27,G28,G29,H30,H31,H32,I33,I34,J01,K01,K02,K03,K04
A01,—,SYN,SYN,SYN,SYN,SYN,,,,,,,,,,,,,,,,,,,,,,SYN,,,,SYN,,,,,,,,,,,,
A02,SYN,—,SYN,SYN,,,,,,,,,,,,,,,,,,,,SYN,,,,,,,,SYN,,,,,,,,,,,,
A03,SYN,SYN,—,SYN,SYN,SYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04,SYN,SYN,SYN,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A05,SYN,,SYN,,—,SYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A06,SYN,,SYN,,SYN,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07,,,,,,,—,OVL,OVL,OVL,OVL,OVL,OVL,,,,,SYN,,,SYN,SYN,,,,SYN,,,,,,,,,,,,SYN,,SYN,,,SYN,
B08,,,,,,,OVL,—,,SYN,,,SYN,,,SYN,,,,SYN,,,,,,,,,,,,,,,,,,SYN,,SYN,,,SYN,
B09,,,,,,,OVL,,—,SYN,,,SYN,,DEP,SYN,,,,,,,,,,,,,,,,SYN,,,,,,,,,,,,
B10,,,,,,,OVL,SYN,SYN,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B11,,,,,,,OVL,,,,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN,,,,
B12,,,,,,,OVL,,,,,—,,,,,,CONF,,,CONF,SYN,,,,,,,,,,,,,,,,,,,,,,
B13,,,,,,,OVL,SYN,SYN,,,,—,,,,SYN,,,SYN,,,,,,,,,,,,SYN,,,,,,SYN,,SYN,,,,
C11,,,,,,,,,,,,,,—,SYN,SYN,SYN,,SYN,,,SYN,,,,,,,,,,,,,,,,SYN,,SYN,,,,
C12,,,,,,,,,DEP,,,,,SYN,—,SYN,SYN,,SYN,SYN,,,,,,,,,,,,,,,,DEP,,SYN,,SYN,,,,
C13,,,,,,,,SYN,SYN,,,,,SYN,SYN,—,SYN,,,SYN,,,,,,,,,,,,SYN,,,,,,SYN,,SYN,,SYN,,
C14,,,,,,,,,,,,,SYN,SYN,SYN,SYN,—,,,,SYN,,,,,,,,,,,,,,,,,SYN,,SYN,,,,
D15,,,,,,,SYN,,,,,CONF,,,,,,—,SYN,SYN,SYN,,,,,,,,,,,,,,,,,,,,SYN,SYN,,SYN
D16,,,,,,,,,,,,,,SYN,SYN,,,SYN,—,SYN,,,,,,,,,,,,DEP,,,,,,,,,,,,
D17,,,,,,,,SYN,,,,,SYN,,SYN,SYN,,SYN,SYN,—,,SYN,,,,,,,,,,,,,,,,SYN,,SYN,SYN,,SYN,
D18,,,,,,,SYN,,,,,CONF,,,,,SYN,SYN,,,—,SYN,,,,,,,,,,,,,,,,,,,,,,
D19,,,,,,,SYN,,,,,SYN,,SYN,,,,,,SYN,SYN,—,,,,,,,,,,,,,,,,,,,,,SYN,
E19,,,,,,,,,,,,,,,,,,,,,,,—,SYN,,SYN,,,,,,,,,,,,,,,,,,
E20,,SYN,,,,,,,,,,,,,,,,,,,,,SYN,—,SYN,SYN,,,,,,,,,,,,,,,,,,
E21,,,,,,,,,,,,,,,,,,,,,,,,SYN,—,,,,,,,,,,SYN,,,,,,,,,
E22,,,,,,,SYN,,,,,,,,,,,,,,,,SYN,SYN,,—,,,,,,,,,,,,,,,,,,
F22,,,,,,,,,,,,,,,,,,,,,,,,,,,—,,,,,,,,,,,,,,,,,
F23,SYN,,,,,,,,,,,,,,,,,,,,,,,,,,,—,SYN,SYN,SYN,,,,,,,,,,,,,
F24,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN,—,SYN,SYN,,,,SYN,,,,,,,,,
F25,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN,SYN,—,SYN,,,,,,,,,,,,,
F26,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN,SYN,SYN,—,SYN,,,SYN,SYN,,,,,,,,
G27,SYN,SYN,,,,,,,SYN,,,,SYN,,,SYN,,,DEP,,,,,,,,,,,,SYN,—,,,,,SYN,,,,SYN,SYN,,SYN
G28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,,,,,,,,,,,
G29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,,,,,,,,,,
H30,,,,,,,,,,,,,,,,,,,,,,,,,SYN,,,,SYN,,SYN,,,,—,SYN,SYN,,,,,,,
H31,,,,,,,,,,,,,,,DEP,,,,,,,,,,,,,,,,SYN,,,,SYN,—,SYN,,,,,,,
H32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN,,,SYN,SYN,—,,,,,,,
I33,,,,,,,SYN,SYN,,,,,SYN,SYN,SYN,SYN,SYN,,,SYN,,,,,,,,,,,,,,,,,,—,SYN,SYN,,,SYN,
I34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYN,—,,,,,
J01,,,,,,,SYN,SYN,,,SYN,,SYN,SYN,SYN,SYN,SYN,,,SYN,,,,,,,,,,,,,,,,,,SYN,,—,SYN,SYN,,SYN
K01,,,,,,,,,,,,,,,,,,SYN,,SYN,,,,,,,,,,,,SYN,,,,,,,,SYN,—,SYN,SYN,SYN
K02,,,,,,,,,,,,,,,,SYN,,SYN,,,,,,,,,,,,,,SYN,,,,,,,,SYN,SYN,—,SYN,SYN
K03,,,,,,,SYN,SYN,,,,,,,,,,,,SYN,,SYN,,,,,,,,,,,,,,,,SYN,,,SYN,SYN,—,SYN
K04,,,,,,,,,,,,,,,,,,SYN,,,,,,,,,,,,,,SYN,,,,,,,,SYN,SYN,SYN,SYN,—
